PROLIFIC_PID,totalTime,PID,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
55c694e3fdf99b6c4f28595f,369.558,,0.1804877051542421,4.5397868702434395e-05,1.0,111.95377896338263,1.2737744222135921e-45,0.3409090909090909,0.0,0.9924242424242424,2.09,0.0,0.0,0.0,11.84,0.0
61103c2b7810420e5f23f437,619.351,,0.06909141490715132,0.40436281690061604,-1.0,201.58583264201218,3.1549423241032265e-06,0.05303030303030303,0.015151515151515152,0.38636363636363635,4.04,0.0,0.0,0.0,28.48,0.0
640415971520c41606ca4389,383.871,,0.1618860304263532,0.8248115529485993,-1.0,188.7361334872602,5.731435889659149e-12,0.2878787878787879,0.0,0.2727272727272727,8.34,0.3333333333333333,0.0,0.8333333333333334,16.62,0.0
628dec55823f672331c68577,421.873,,0.24396887780038368,0.6314639502514573,-1.0,183.3610457314147,2.4047651013578867e-14,0.2196969696969697,0.0,0.3787878787878788,2.83,0.0,0.0,0.0,15.53,0.0
5fc70f3bd255c10f0b2346ba,645.567,,0.1737029163064388,0.46522281332442916,-1.0,194.98376877274887,3.428163177777615e-09,0.0,0.007575757575757576,0.20454545454545456,20.68,0.0,0.16666666666666666,0.0,34.88,1.0
6404fb7b9a7b3cfb4179d185,554.982,,0.6509330057327357,0.9999546021312976,1.0,147.5422350520109,4.515908710277793e-30,0.0,0.0,0.5151515151515151,7.94,0.0,0.0,0.8333333333333334,24.42,0.0
64023a98627b1116180dff0b,475.009,,0.07122238644070043,0.43904202201636233,0.3903020155786175,209.78357479255303,0.021028132079856637,0.007575757575757576,0.0,0.03787878787878788,1.16,0.0,0.0,0.0,17.16,0.0
609e15bbf246a639a4123518,582.176,,0.17646267060829074,0.8275104139837411,1.0,194.04556967033005,1.308587298724893e-09,0.19696969696969696,0.0,0.42424242424242425,5.95,0.0,0.0,0.0,12.9,0.0
63e5513398583a335b2a8bdd,666.464,,0.04715684641883152,4.5397868702434395e-05,-0.15635555463786627,205.611139522505,0.0002179857226458128,0.0,0.007575757575757576,0.14393939393939395,17.34,0.0,0.0,0.16666666666666666,36.21,1.0
63d55208f472dc9178329bcb,316.599,,0.06815838846340842,0.48266168987312835,0.24118333858228694,209.27563738267838,0.011802264788617055,0.6287878787878788,0.0,0.4166666666666667,2.12,0.0,0.0,0.0,8.85,0.0
5c09a1171907db0001602601,382.356,,0.651126111752437,0.9838640243261901,-1.0,170.49618936058934,5.206480142904202e-20,0.16666666666666666,0.0,0.48484848484848486,4.64,0.0,0.0,0.16666666666666666,21.64,0.0
5f2e0b28c642b31678638a21,410.927,,0.6349133507706765,0.8336723530786759,-0.11389166526595094,178.75138975851712,2.2290835700292214e-16,0.022727272727272728,0.0,0.3106060606060606,2.74,0.0,0.0,0.0,7.6,0.0
5e654e2055e480000dcd002a,490.008,,0.08426153197457946,4.5397868702434395e-05,1.0,119.50080246252422,2.5090243852199768e-42,0.2727272727272727,0.0,0.9015151515151515,7.16,0.0,0.0,0.5,13.14,2.0
63e7ac6bcbc2e035cbeadf8a,499.904,,0.18775130466403872,0.24556639012780968,1.0,190.75361051975574,4.49762291596759e-11,0.08333333333333333,0.007575757575757576,0.4393939393939394,9.71,0.0,0.0,0.16666666666666666,29.22,0.0
613107a0c7fc3a96a54c7693,385.516,,0.14671861263870634,0.9999546021312976,-1.0,145.86066604639797,8.298051009095423e-31,0.007575757575757576,0.0,0.3712121212121212,3.65,0.0,0.0,0.0,13.69,0.0
612fbc37af2136fe81fc71a9,463.703,,0.06202806653514703,0.9999546021312976,0.9168235461579848,204.7732960249538,8.955682772107589e-05,0.29545454545454547,0.0,0.5833333333333334,23.25,0.0,0.0,0.0,36.0,0.0
640feb5e49b723bcfaad6437,530.569,,0.507620372586635,0.5463401214421533,-0.6546459588210506,194.57920363611484,2.2627465294601537e-09,0.0,0.0,0.3712121212121212,15.58,0.0,0.0,0.16666666666666666,20.65,0.0
63d7a91b72bdcca4f3a683e8,392.199,,0.28638819618109645,0.49619241272984765,1.0,192.22654265861937,2.0290075833089407e-10,0.25757575757575757,0.0,0.3181818181818182,3.99,0.0,0.0,0.16666666666666666,5.52,0.0
6108114eaacc3458294b244c,416.859,,0.07970975938853395,4.5397868702434395e-05,0.488064529310686,196.8828743120896,2.4182808039182755e-08,0.1590909090909091,0.0,0.38636363636363635,7.59,0.0,0.0,0.0,13.25,2.0
63d418d4229ed6c0712ce5bb,414.594,,0.1452620938087195,0.806526515457044,0.8170282252373687,199.04301717404223,2.2498739155100813e-07,0.06060606060606061,0.007575757575757576,0.19696969696969696,1.43,0.0,0.0,0.0,6.94,0.0
640132934d00561d78518c4c,469.493,,0.22140012265923684,0.3769141589778272,0.21373545913734585,203.3733565213871,2.047174005282713e-05,0.3181818181818182,0.0,0.15151515151515152,11.67,0.0,0.0,0.16666666666666666,45.79,0.0
63f791692fa22034babcdda1,409.446,,0.4432061369472013,0.4294091868181542,-0.062252293543977814,211.62031495667966,0.19882574051273158,0.5075757575757576,0.0,0.20454545454545456,20.87,0.0,0.0,0.0,21.44,0.0
